,Name of Recipe,Recipe Type,difficulty level,cooking time
344,Patta Gobhi Matar | Cabbage Peas,Cabbage Recipes,Easy,1 hr
345,Suji Kheer | Rava Kheer,Sweets Recipes,Easy,20 mins
346,Rajgira Puri | Amaranth Poori,Navratri & Fasting Recipes,Moderate,50 mins
347,Vrat wale Aloo | Vrat ke Aloo,Navratri & Fasting Recipes,Easy,30 mins
348,Poori Masala | Puri Curry (Hotel Style Recipe),Potato Recipes,Moderate,40 mins
349,Rajasthani Kadhi,No Onion No Garlic Recipes,Moderate,25 mins
350,Set Dosa | Sponge Dosa (2 Ways),Breakfast Recipes,Moderate,9 hrs 30 mins
351,Bajra Khichdi,Rice Recipes,,30 mins
352,Shahi Pulao | Hyderabadi Pulao,Hyderabadi Recipes,,55 mins
353,Mint Raita | Pudina Raita,Raita Recipes,Easy,15 mins
354,Matar Mushroom,Peas Recipes,,45 mins
355,Manchow Soup Recipe | How to make Spicy Veg Manchow Soup,Soup Recipes,Moderate,45 mins
356,Jeera Rice | Cumin Rice (Restaurant Style Recipe),Rice Recipes,Moderate,55 mins
357,Veg Chilli Milli,Curry Recipes,Moderate,1 hr 5 mins
358,kuttu ki puri | vrat ki poori,Navratri & Fasting Recipes,,30 mins
359,Baby Corn Masala | Baby Corn Curry,Curry Recipes,Moderate,1 hr
360,Veg Puff Recipe,Snacks Recipes,Easy,1 hr 10 mins
361,Nimbu ka Achar | Nimbu ka Khatta Meetha Achar,Pickle Recipes,Easy,30 mins
362,Carrot Kheer | Carrot Payasam,Vegan Recipes,Moderate,40 mins
363,Tutti Frutti Cookies | Tutti Frutti Biscuits,Cookies,Easy,1 hr 5 mins
364,Veg Kolhapuri,Vegan Recipes,Moderate,1 hr 20 mins
365,Oats Chilla,Breakfast Recipes,Moderate,30 mins
366,Chinese Bhel (Street Style),Indo Chinese Recipes,Moderate,15 mins
367,Cream of Broccoli Soup,Soup Recipes,Moderate,30 mins
368,Veg Handi | Veg Diwani Handi,Curry Recipes,Easy,1 hr 10 mins
369,Khatti Dal | Hyderabadi Khatti Dal,Dal (Lentils) & Legumes,Moderate,40 mins
370,Tambdi Bhaji | Red Spinach Recipe | Goan Red Amaranth Recipe,Goan Recipes,Easy,30 mins
371,Alu Vadi | Patra Recipe | Pathrode Recipe,Maharashtrian Recipes,Moderate,37 mins
372,Khasta Roti,Indian Breads,Moderate,45 mins
373,Spaghetti Aglio e Olio Recipe,Pasta Recipes,Moderate,20 mins
374,Matar Kulcha | Matar Chaat – Delhi Style Recipe,Street Food Recipes,Moderate,8 hrs 30 mins
375,Oats Recipes | 14 Tasty Oatmeal Recipes for breakfast or snack,DIY & Collections,,
376,Green Coconut Chutney | Coriander Coconut Chutney,Chutney Recipes,Moderate,15 mins
377,Idli Upma,Breakfast Recipes,Moderate,15 mins
378,Kulcha Recipe | Kulcha Bread,Indian Breads,Moderate,2 hrs 45 mins
379,Ladies Finger Fry (Vegan),Okra Recipes,,35 mins
380,Chawli Usal,Dal (Lentils) & Legumes,Moderate,7 hrs 50 mins
381,Mushroom Kurma,Mushroom Recipes,Moderate,35 mins
382,Cabbage Bhaji,Cabbage Recipes,Easy,30 mins
383,Baisakhi Food | 50 Baisakhi Recipes,DIY & Collections,,
384,Pizza Without Oven | Tawa Pizza | Pan Pizza,Bread Recipes,Easy,45 mins
385,Semiya Kesari,South Indian Food,Moderate,25 mins
386,Urad Dal Kachori,Street Food Recipes,,1 hr
387,Chole Bhature | Chana Bhatura,Punjabi Recipes,Moderate,9 hrs 30 mins
388,Brown Bread,Bread Recipes,Moderate,44 mins
389,Cheese Dosa,Breakfast Recipes,,25 mins
390,Palak Saag | Spinach Saag,Palak Recipes (Spinach Recipes),Moderate,50 mins
391,Chura Matar | Delicious Matar Poha,Peas Recipes,Moderate,25 mins
392,Cheese Pakora | Cheese Fritters,Pakora Recipes,,30 mins
393,Lauki ki Sabji,Vegetable Recipes,,25 mins
394,Kathal ki Sabji,Vegetable Recipes,Moderate,30 mins
395,Semiya Biryani | Vermicelli Biryani,Rice Recipes,,1 hr
396,Lucknowi Biryani | Awadhi Biryani (Veg),Rice Recipes,,1 hr 15 mins
397,Arbi Curry | Arbi Masala,Navratri & Fasting Recipes,Moderate,35 mins
398,Punjabi Wadi | Vadi Recipe,DIY & Collections,Moderate,2 hrs
399,Malabar Biryani | Kerala Biryani | Thalassery Biryani (Vegetarian),Kerala Recipes,Moderate,1 hr
400,Mysore Masala Dosa (with red chutney),Breakfast Recipes,Moderate,9 hrs 50 mins
401,Aloo Posto,Potato Recipes,Moderate,30 mins
402,Red Chutney | Red Dosa Chutney,Chutney Recipes,Easy,15 mins
403,Roasted Makhana (Phool Makhana Recipe),Navratri & Fasting Recipes,Easy,10 mins
404,Patoli Recipe | Patoleo (Steamed Rice Rolls),Goan Recipes,Moderate,1 hr 30 mins
405,Lauki Kofta | Lauki ke Kofte,Curry Recipes,Moderate,1 hr
406,Sabja Seeds (Basil Seeds) | How to use Sabja Seeds & Benefits,DIY & Collections,Easy,30 mins
407,Baingan Bharta Recipe (Indian Mashed Eggplant),Brinjal Recipes,Moderate,30 mins
408,Malai Kofta Recipe (Restaurant Style Paneer Kofta),Paneer Recipes,Difficult,1 hr 30 mins
409,Puri Bhaji | Batata Bhaji,Breakfast Recipes,Moderate,40 mins
410,Pizza Recipe | Veggie Pizza | Foolproof Veg Pizza Recipe,Bread Recipes,Easy,1 hr 30 mins
411,Beans Thoran Recipe,Kerala Recipes,Moderate,30 mins
412,Ragda Chaat,Street Food Recipes,Moderate,9 hrs 30 mins
413,Undhiyu Recipe | Surti Undhiyu,Vegetable Recipes,Moderate,1 hr 15 mins
414,Cheese Naan,North Indian Food,Moderate,3 hrs
415,Gajar Ka Murabba | Carrot Murabba,Condiments,Moderate,45 mins
416,Butter Cake Recipe (Without Eggs),Cake Recipes,Moderate,1 hr 15 mins
417,Collection of 13 Indian Beetroot Recipes,Vegetable Recipes,,
418,Bread Vada,Bread Snacks,Moderate,30 mins
419,Bhutte ka Kees (Indore Style),Street Food Recipes,Difficult,30 mins
420,Cauliflower Curry,Cauliflower Recipes,Moderate,30 mins
421,Bitter Gourd Pickle | Bitter Melon Pickle (Karela Pickle),Pickle Recipes,Moderate,55 mins
422,Wine Cake Recipe,Cake Recipes,Moderate,1 hr 10 mins
423,Apple Upside Down Cake,Cake Recipes,Moderate,1 hr
424,Gingerbread Cake Recipe | Eggless Gingerbread Loaf,Cake Recipes,Moderate,50 mins
425,Garlic Naan | How to make Garlic Naan Bread,Indian Breads,Moderate,1 hr 40 mins
426,Podi Idli,Evening Snacks,,30 mins
427,Mushroom Puff,Snacks Recipes,Difficult,1 hr
428,Parwal ki Sabji | Easy Aloo Parwal Recipe,Vegetable Recipes,Moderate,30 mins
429,Tandoori Gobi | Gobi Tikka | Tandoori Cauliflower,Snacks Recipes,Moderate,2 hrs
430,Corn Salad,Salad Recipes,Easy,25 mins
431,Banana Fry | Aratikaya Fry,South Indian Food,Moderate,30 mins
432,Bharli Vangi Recipe | Stuffed Brinjal,Brinjal Recipes,Moderate,1 hr
433,Aloo Biryani | Potato Biryani,Rice Recipes,Difficult,1 hr
434,Tawa Pulao,Rice Recipes,,1 hr
435,Rajgira Kheer | Amaranth Kheer for Vrat,Navratri & Fasting Recipes,,20 mins
436,Lauki Soup | Bottle Gourd Soup | Dudhi Soup,Soup Recipes,Moderate,25 mins
437,Carrot Raita | Gajar ka Raita,Raita Recipes,Easy,15 mins
438,Makhana Raita,Raita Recipes,Easy,15 mins
439,Dudhi Bhopla Bhaji | Dudhi Bhaji | Dudhi chi Bhaji,Vegetable Recipes,Moderate,25 mins
440,Gur ki roti | Jaggery roti | Meethi roti,Indian Breads,Moderate,50 mins
441,Sweet Kozhukattai | Chana Dal Modak,Tamil Nadu Food,,1 hr 20 mins
442,Veg Makhanwala,Curry Recipes,Moderate,1 hr 10 mins
443,Stuffed Capsicum | Bharwa Shimla Mirch,Capsicum Recipes,Moderate,55 mins
444,Potato Podimas,Potato Recipes,Moderate,40 mins
445,Vendakkai Poriyal | Ladies Finger Poriyal,Okra Recipes,Moderate,25 mins
446,Methi Chole | Fenugreek Leaves With Chickpeas,Vegan Recipes,Easy,50 mins
447,12 Bottle gourd recipes | lauki recipes | dudhi recipes | sorakaya recipes,Vegetable Recipes,,
448,Kathal Biryani | Jackfruit Biryani,Rice Recipes,Moderate,1 hr 15 mins
449,Dal Palak Recipe | Spinach Dal,Dal (Lentils) & Legumes,Moderate,30 mins
450,Rava Vada | Instant Vada Recipe,South Indian Food,Moderate,25 mins
451,Paneer Pasanda Restaurant Style,Paneer Recipes,Difficult,1 hr 50 mins
452,Corn Pakoda | Corn Fritters,Pakora Recipes,Moderate,45 mins
453,Mughlai Biryani,Uttar Pradesh Cuisine,,1 hr 10 mins
454,Rice Pakora | Chawal Ke Pakode | Leftover Rice Pakora,Pakora Recipes,Easy,25 mins
455,Whole Masoor Dal | Brown Lentils (Sabut Masoor Dal),Dal (Lentils) & Legumes,Moderate,30 mins
456,Paneer Malai Tikka,Gluten Free Recipes,Moderate,50 mins
457,Kovakkai Fry | Dondakaya Fry,Vegetable Recipes,Moderate,25 mins
458,Capsicum Fry | South Indian Bell Pepper Stir Fry,Capsicum Recipes,Moderate,20 mins
459,Curry Leaves Chutney | Kadi Patta Chutney,Chutney Recipes,Easy,10 mins
460,Malabar Paratha | Kerala Paratha | Parotta Recipe,Indian Breads,Moderate,1 hr 40 mins
461,Wheat Halwa | Atta Halwa,Halwa,,15 mins
462,Edamame Recipes | Salted and Spicy Edamame | Soyabean Chilli,World Recipes,Moderate,20 mins
463,Paneer Gassi Recipe,Curry Recipes,Moderate,45 mins
464,Rava Pongal,Breakfast Recipes,,30 mins
465,Chickpea Curry Recipe | Coconut Chickpea Curry,Curry Recipes,Moderate,9 hrs 30 mins
466,Samosa Sandwich,Street Food Recipes,,30 mins
467,Kanda Bhaji | Onion Bhaji,Pakora Recipes,Moderate,30 mins
468,Samosa Pav,Street Food Recipes,,15 mins
469,Gobi Masala Recipe | Cauliflower Masala Restaurant Style,Cauliflower Recipes,Moderate,55 mins
470,Schezwan Dosa,Breakfast Recipes,Moderate,30 mins
471,Bendakaya Fry,Okra Recipes,Moderate,25 mins
472,Davangere Benne Dosa | Butter Dosa,Breakfast Recipes,,9 hrs 30 mins
473,34 Tasty Tomato Recipes,DIY & Collections,,
474,Arbi Fry Recipe (Seppankizhangu Fry),Vegetable Recipes,Moderate,32 mins
475,Dindigul Biryani (with mushrooms),Rice Recipes,Moderate,35 mins
476,Paneer Amritsari Recipe | Amritsari Paneer Tikka,Paneer Recipes,Moderate,55 mins
477,Gawar Bhaji | Gawar ki Sabzi | Cluster Beans Recipe,Vegetable Recipes,Easy,45 mins
478,Lauki ki Kheer,Navratri & Fasting Recipes,,30 mins
479,Gond Ke Laddu | Nutritious Gond Laddu,Ladoo Recipes,,30 mins
480,Paneer Handi,Paneer Recipes,Moderate,30 mins
481,Palak Puri | Palak Poori,Palak Recipes (Spinach Recipes),Easy,30 mins
482,Aloo Gajar Ki Sabji,Vegan Recipes,Moderate,13 mins
483,Puran Poli Recipe,Sweets Recipes,Moderate,2 hrs
484,Aloo Tikki Chole,Street Food Recipes,Moderate,45 mins
485,Jaljeera Recipe | Jaljeera Benefits,Beverages,Moderate,20 mins
486,Pudina Thogayal Recipe,Chutney Recipes,Moderate,10 mins
487,Gajar Recipes | 30 Tasty Indian Carrot Recipes,Vegetable Recipes,,
488,Dhansak Recipe | Veg Dhansak,Dal (Lentils) & Legumes,,1 hr
489,Roomali Roti | How To Make Rumali Roti,Indian Breads,Moderate,1 hr
490,Chane Ka Saag,North Indian Food,Moderate,50 mins
491,Quesadilla Recipe | Mushroom and Veggie Quesadilla,Mexican Recipes,Moderate,40 mins
492,Rice Cutlet | Leftover Rice Cutlets,Snacks Recipes,Moderate,25 mins
493,Vendhaya Dosai | Methi Dosa,Breakfast Recipes,Moderate,9 hrs 30 mins
494,Mathanga Erissery | Pumpkin Erissery Recipe,Curry Recipes,Moderate,50 mins
495,Eggless Pineapple Cake | Pineapple Pastry,Cake Recipes,Moderate,1 hr 30 mins
496,Barbati ki Sabji | Long Beans Recipe,Vegetable Recipes,Moderate,1 hr 5 mins
497,Yogurt Recipes | 31 Indian Curd Recipes,DIY & Collections,,
498,Corn Kebab | Sweet Corn Kabab,Snacks Recipes,Moderate,50 mins
499,Coconut Milk Recipe | How To Make Coconut Milk,DIY & Collections,Moderate,25 mins
500,Strawberry Lassi,Beverages,Easy,15 mins
501,Beetroot Poriyal,Vegetable Recipes,Moderate,20 mins
502,Paan Shots | Paan Milkshake,Beverages,Moderate,15 mins
503,White Dhokla | Khatta Dhokla,Snacks Recipes,Moderate,7 hrs 25 mins
504,Aloo Tikki Burger (Potato Burger),Street Food Recipes,Moderate,40 mins
505,Pineapple Pachadi,Kerala Recipes,Moderate,20 mins
506,Samosa Chaat,Snacks Recipes,,30 mins
507,Bajra Roti | Bajre ki Roti (Pearl Millet Flatbread),Indian Breads,Moderate,50 mins
508,Adai Recipe | How to make Adai Dosa,Breakfast Recipes,Moderate,2 hrs 40 mins
509,Mirchi Ka Salan Recipe | Biryani Salan,Curry Recipes,Moderate,50 mins
510,Mushroom Manchurian,Indo Chinese Recipes,Moderate,45 mins
511,Mosambi Juice | Sweet Lime Juice,Juices,Moderate,15 mins
512,Bagara Baingan (Eggplant Curry For Biryani),Brinjal Recipes,Moderate,1 hr
513,Yam Chips (Jimikand Recipe),Vegetable Recipes,Moderate,40 mins
514,Dabeli Recipe |  Kacchi Dabeli | Dabeli Masala,Street Food Recipes,Moderate,1 hr
515,Alfalfa Sprouts | How to grow Alfalfa Sprouts,DIY & Collections,Moderate,3 d 6 hrs
516,Usal Recipe | Maharashtrian Malvani Usal,Dal (Lentils) & Legumes,Moderate,1 hr
517,Paneer Bhurji Recipe (Punjabi Style),Paneer Recipes,Easy,20 mins
518,Spinach Soup Recipe (Palak Soup),Soup Recipes,Moderate,30 mins
519,Peri Peri Sauce Recipe | Homemade Piri Piri Sauce,Condiments,Moderate,20 mins
520,Pulao Recipe | Veg Pulao Recipe (Pulav),Rice Recipes,Moderate,40 mins
521,Garlic Butter Mushrooms | Garlic Mushrooms,Mushroom Recipes,Easy,20 mins
522,Beetroot Thoran (Kerala Style Sautéed Beetroot),Vegetable Recipes,Moderate,35 mins
523,Kundru ki Sabji | Tendli Recipe | Tendli Bhaji,Vegetable Recipes,Moderate,50 mins
524,Dukkah Recipe (Egyptian Nut and Spice Blend),Condiments,Moderate,20 mins
525,Thecha Recipe | Mirchi Thecha Chutney,Condiments,Moderate,6 mins
526,Carrot Poriyal,Vegetable Recipes,Moderate,25 mins
527,Almond Milk Recipe | How to make Almond Milk,DIY & Collections,Moderate,45 mins
528,Bhindi Masala | Punjabi Style Bhindi Recipe,Okra Recipes,Moderate,45 mins
529,Vegetable Stew | Kerala Veg Stew Recipe,Curry Recipes,Moderate,40 mins
530,Khus Syrup | Khus Sharbat Recipe,Beverages,Moderate,37 mins
531,Apple Milkshake,Milkshake Recipes,Easy,15 mins
532,kaddu paratha | pumpkin paratha,DIY & Collections,,45 mins
533,Matar ka nimona recipe,Peas Recipes,Moderate,30 mins
534,30 Tasty Recipe Ideas with Moong Dal (Mung Lentils),Dal (Lentils) & Legumes,,
535,Shahi Paneer (Mughlai Style Recipe),Paneer Recipes,Moderate,40 mins
536,Black Eyed Peas Recipe | Black Eyed Peas Curry,Dal (Lentils) & Legumes,Moderate,30 mins
537,Amti Recipe | Amti Dal,Dal (Lentils) & Legumes,Moderate,35 mins
538,Mixed Sprouts | How To Make Mixed Sprouts,DIY & Collections,Easy,3 d 8 hrs
539,Piyush Drink | Piyush Recipe,Beverages,Easy,5 mins
540,Green Peas Masala | Green Peas Curry,Curry Recipes,Moderate,1 hr
541,Fig Milkshake (Anjeer Shake),Milkshake Recipes,Moderate,15 mins
542,Suji Toast | Rava Toast,Bread Snacks,Moderate,25 mins
543,46 tasty besan recipes (gram flour or chickpea flour recipes),DIY & Collections,,
544,Mango Raita Recipe,Raita Recipes,Moderate,20 mins
545,Lobia Recipe | Lobia Masala (Curried Black Eyed Beans),Dal (Lentils) & Legumes,Moderate,30 mins
546,Palak Patta Chaat | Palak Chaat,Snacks Recipes,Moderate,30 mins
547,Aloo Puri Recipe,Breakfast Recipes,Moderate,1 hr 15 mins
548,Veg Raita | Mix Vegetable Raita,Raita Recipes,Easy,15 mins
549,Garlic Chutney | Vada Pav Chutney | Lasun Chutney,Chutney Recipes,Moderate,7 mins
550,Aloo Tikki Chaat,Street Food Recipes,Moderate,30 mins
551,Arbi Sabji | Arbi Recipe | Ghuiya Ki Sabji,North Indian Food,Moderate,1 hr
552,Kokum Juice Recipe | Kokum Sharbat | Kokum Benefits,Beverages,Moderate,40 mins
553,Mirchi Bajji Recipe | Chilli Bajji | Mirapakaya Bajji,Pakora Recipes,Moderate,40 mins
554,Nei Choru | Neychoru Recipe (Kerala Style),Rice Recipes,Moderate,40 mins
555,Beetroot Cutlet | Beetroot Tikki | Beet Patties,Snacks Recipes,,40 mins
556,Masoor Dal Recipe | Easy & Spiced Indian Red Lentils Recipe,Dal (Lentils) & Legumes,Moderate,30 mins
557,Masala Corn Recipe,Snacks Recipes,Moderate,25 mins
558,Burani Raita | Hyderabadi Burhani Raita,Raita Recipes,Easy,5 mins
559,Chana Dal Payasam | Kadalai Paruppu Payasam,Sweets Recipes,Moderate,2 hrs 35 mins
560,Dahi Vada Recipe (Authentic North Indian Recipe),Snacks Recipes,Moderate,8 hrs 45 mins
561,Masala Pasta Recipe | Indian Pasta Recipe,Pasta Recipes,Moderate,30 mins
562,Lemon Rice | South Indian Chitranna Recipe for Lunch Box,Rice Recipes,Easy,25 mins
563,Masala Papad Recipe,Snacks Recipes,Moderate,15 mins
564,Sandwich Chutney Recipe | Green Chutney For Sandwich,Chutney Recipes,Moderate,10 mins
565,Paneer Bread Roll,Bread Snacks,Moderate,25 mins
566,Hot Coffee | Beaten Coffee (Cafe Style),World Recipes,Easy,10 mins
567,Besan Bhindi (Besan Wali Bhindi),Okra Recipes,Moderate,35 mins
568,Besan Chilla | Chilla Recipe (Quick Gram Flour Pancakes),Breakfast Recipes,Easy,30 mins
569,Pav Bhaji Recipe (Super Delicious Mumbai Pav Bhaji),Street Food Recipes,Moderate,40 mins
570,Palak Paneer Recipe | How to make Palak Paneer,Paneer Recipes,Moderate,40 mins
571,Sambar Rice | Sambar Sadam,Rice Recipes,Moderate,50 mins
572,Sarson ka Saag,Punjabi Recipes,Moderate,4 hrs
573,Matar Paneer | Punjabi Mutter Paneer,Paneer Recipes,Moderate,30 mins
574,Pineapple Kesari | Pineapple Halwa | Pineapple Sheera,Halwa,Moderate,15 mins
575,Suji Ka Cheela | Rava Chilla,Breakfast Recipes,Moderate,50 mins
576,Paal Payasam | Rice Payasam,Sweets Recipes,Moderate,1 hr
577,Methi Bhaji | Methi ki Bhaji,Methi Recipes (Fenugreek),Moderate,25 mins
578,Chocolate Milkshake Recipe | Chocolate Shake,Milkshake Recipes,Easy,10 mins
579,Sweet Appam | Banana Appam,Snacks Recipes,Moderate,50 mins
580,Paneer Kali Mirch Recipe,Paneer Recipes,Moderate,30 mins
581,Rasam Powder Recipe | Rasam Podi,Spice Mix,Moderate,20 mins
582,Rava Dosa Recipe | Quick Suji ka Dosa,Breakfast Recipes,Easy,30 mins
583,Green Moong Dal | Green Gram Curry | Sabut Moong Dal,Dal (Lentils) & Legumes,Moderate,1 hr 40 mins
584,Banana Bread Recipe (Eggless and Vegan),Bread Recipes,Moderate,45 mins
585,Dalgona Coffee Recipe | Whipped Coffee,Beverages,Easy,12 mins
586,Tomato Soup Recipe (Homemade & Easy),Soup Recipes,Easy,25 mins
587,Moong Dal Halwa,Halwa,Moderate,7 hrs 10 mins
588,Kosambari Recipe | Kosambari Salad | Moong Dal Salad,Salad Recipes,Moderate,15 mins
589,Rasam Recipe without Rasam Powder,South Indian Food,Easy,30 mins
590,Rava Kichadi,Breakfast Recipes,Moderate,20 mins
591,Aloo Paratha Recipe | Punjabi Aloo ka Paratha,North Indian Food,Moderate,50 mins
592,Parippu Curry | Lentil Curry Recipe,Dal (Lentils) & Legumes,Moderate,25 mins
593,Cold Coffee (Cafe Style Recipe),Beverages,Easy,15 mins
594,Tomato Shorba Recipe | Tomato Dhaniya Shorba,Soup Recipes,Moderate,20 mins
595,Gajar Ka Halwa | Punjabi Carrot Halwa Recipe (4 Variations),Sweets Recipes,Moderate,1 hr 10 mins
596,Kheer Recipe | Rice Kheer,Sweets Recipes,Moderate,50 mins
597,Easy Paneer Butter Masala Recipe in 40 Minutes,Paneer Recipes,Moderate,40 mins
598,Onion Salad,Salad Recipes,Easy,5 mins
599,Mushroom Tikka | Tandoori Mushroom,Mushroom Recipes,Moderate,1 hr
600,Upma Recipe | Rava Upma | Suji ka Upma Recipe,Breakfast Recipes,Easy,30 mins
601,Mushroom Pepper Fry,Mushroom Recipes,Moderate,40 mins
602,Gulab Jamun Recipe – With Khoya & Milk Powder,Sweets Recipes,Moderate,45 mins
603,"Badam Milk Recipe, Sweet Creamy Badam ka Milk",Beverages,Moderate,40 mins
604,Aloo Matar or Aloo Mutter,Curry Recipes,Moderate,30 mins
605,Brinjal Fry | Fried Eggplant Recipe,Brinjal Recipes,Moderate,35 mins
606,Masala Milk | Masala Doodh,Beverages,Moderate,15 mins
607,Fruit Raita,Raita Recipes,Easy,15 mins
608,Oats Kheer | Oats Payasam,Sweets Recipes,Moderate,15 mins
609,Balushahi Recipe | Badusha Sweet,Sweets Recipes,Moderate,40 mins
610,Rava Laddu | Easy Suji Ke Laddu | Rava Ladoo,Ladoo Recipes,Moderate,30 mins
611,Nankhatai Recipe | Nankhatai Biscuit,Cookies,Moderate,40 mins
612,Kalakand Recipe (Indian Milk Cake),Sweets Recipes,Easy,20 mins
613,Mysore Pak Recipe,Sweets Recipes,Difficult,25 mins
614,Besan Ladoo | Easy Besan Ke Laddu,Ladoo Recipes,Moderate,30 mins
615,Omapodi Recipe,Evening Snacks,Moderate,30 mins
616,Karanji Recipe,Sweets Recipes,Moderate,1 hr 20 mins
617,Shankarpali Recipe – Sweet and Salted,Evening Snacks,Moderate,1 hr
618,Sev Recipe | Karasev | Besan Sev,Evening Snacks,Moderate,35 mins
619,Namak Para | Namak Pare (Salty Diamond Cuts),Evening Snacks,Moderate,1 hr 10 mins
620,Mixture Recipe | Madras Mixture,Evening Snacks,Moderate,1 hr 15 mins
621,Thattai Recipe | Thattu Vadai,Evening Snacks,Moderate,40 mins
622,Chakli Recipe (Instant & Easy),Evening Snacks,Moderate,1 hr 15 mins
623,Chivda Recipe | Poha Chivda | Namkeen Recipe,Evening Snacks,Moderate,25 mins
624,Butter Murukku | Butter Chakli,Evening Snacks,Moderate,30 mins
625,Chutney Sandwich,Bread Snacks,Easy,15 mins
626,Perfect Kaju Katli Recipe | Kaju Barfi,Sweets Recipes,Moderate,20 mins
627,Diwali Snacks | 124 Diwali Faral Recipes,Snacks Recipes,,
628,Diwali Sweets | 121 Diwali Recipes | Diwali Festival 2022,Sweets Recipes,,
629,Ribbon Pakoda | Ribbon Murukku,Evening Snacks,Moderate,30 mins
630,Dussehra Recipes | 85 Dasara Festival Recipes,DIY & Collections,,
631,South Indian Navratri Recipes,South Indian Food,,
632,Navratri Recipes | 104 Navratri Fast Recipes,Navratri & Fasting Recipes,,
633,Shakarpara Recipe | Khurma | Shakkarpare,Sweets Recipes,Moderate,50 mins
634,Pizza Puffs Recipe,Snacks Recipes,Easy,30 mins
635,Mysore Rasam Recipe,Karnataka Recipes,Moderate,40 mins
636,Bread Dosa Recipe,Bread Snacks,Moderate,30 mins
637,Murukku Recipe | Murukulu Recipe (Crunchy Rice Flour Spirals),Evening Snacks,Moderate,50 mins
638,Aloo Masala | Potato Masala (For Dosa),Breakfast Recipes,Moderate,50 mins
639,Ragi Idli Recipe,Breakfast Recipes,Moderate,9 hrs 30 mins
640,Easy Thai Green Curry with Vegetables,Thai Recipes,Moderate,40 mins
641,Palak Ki Sabji | Aloo Palak Ki Sabji,Vegetable Recipes,Moderate,30 mins
642,Fruit Punch Recipe | Fruit Punch Mocktail,Beverages,Easy,15 mins
643,How To Make Rice Flour | Rice Flour Recipe,DIY & Collections,Moderate,2 hrs 20 mins
644,Ganesh Chaturthi Recipes | 125 Vinayaka Chaturthi Recipes 2022,DIY & Collections,Moderate,1 hr 20 mins
645,Modak Recipe | Ukadiche modak (With & Without Mould),Sweets Recipes,Moderate,1 hr 30 mins
646,Kozhukattai Recipe | How To Make Kolukattai,Sweets Recipes,Moderate,1 hr 30 mins
647,Arisi Upma | Rice Upma,South Indian Food,Moderate,15 mins
648,Beetroot Rice | Beetroot Pulao,Rice Recipes,Moderate,35 mins
649,Janmashtami Recipes | 95 Krishna Jayanthi Recipes,Navratri & Fasting Recipes,,
650,Potato Roast Recipe,South Indian Food,Moderate,28 mins
651,Aloo Gajar Matar Recipe,Vegetable Recipes,Moderate,30 mins
652,Chai Spice Recipe | Masala Tea Powder,Spice Mix,Easy,15 mins
653,Pesto Recipe | Basil Pesto Sauce,Condiments,Easy,8 mins
654,Ash Gourd Recipe | Kumbalanga Thoran | Ash Gourd Thoran,Kerala Recipes,Moderate,35 mins
655,Tomato Pachadi | Thakkali Pachadi (Andhra Style),Chutney Recipes,Moderate,15 mins
656,Curd Sandwich | Greek Yogurt Sandwich (Dahi Sandwich),World Recipes,Easy,20 mins
657,Moong Dal Pakoda | Moong Dal Vada | Moong Dal Bhajiya,Pakora Recipes,Moderate,4 hrs 30 mins
658,Parsi Brown Rice,Rice Recipes,Moderate,40 mins
659,Tomato Curry (Tamatar Curry),Curry Recipes,Moderate,50 mins
660,Banana Recipes | 14 Easy Banana Desserts,DIY & Collections,,
661,Sweet Potato Halwa (Shakarkandi ka Halwa),Navratri & Fasting Recipes,Moderate,40 mins
662,Dal Vada | Masala Vada | Parippu Vada,Snacks Recipes,Moderate,2 hrs 35 mins
663,Chickpea Salad Recipe (Mediterranean Style),Mediterranean Cuisine,Moderate,8 hrs 40 mins
664,Tandoori Aloo | Aloo Tikka,Snacks Recipes,Moderate,40 mins
665,Papaya Halwa (Papaya Sweet),Navratri & Fasting Recipes,Moderate,50 mins
666,Raksha Bandhan Sweets | Raksha Bandhan Festival 2022,DIY & Collections,,
667,Moong Dal Laddu,Ladoo Recipes,Moderate,17 mins
668,Dry Fruit Modak,Sweets Recipes,Moderate,1 hr 20 mins
669,Paneer Toast | Paneer Cheese Sandwich,Paneer Recipes,Easy,25 mins
670,Sweet Potato Cutlet | Sweet Potato Tikki,Snacks Recipes,Moderate,30 mins
671,Coconut Burfi | Nariyal ki Barfi,Sweets Recipes,Moderate,1 hr 25 mins
672,Ram Laddu (Delhi Street Food),Street Food Recipes,Moderate,4 hrs 30 mins
673,Alur Dom | Bengali Aloo Dum,Bengali Recipes,Moderate,50 mins
674,Beetroot Sabzi | Dry Beetroot Curry,Vegetable Recipes,Easy,30 mins
675,Baby Potato Fry | South Indian Baby Potatoes Recipe,Potato Recipes,Moderate,25 mins
676,Cucumber Sandwich,World Recipes,Easy,10 mins
677,Malai Paneer,Paneer Recipes,Easy,25 mins
678,Tomato Sandwich | Cheese and Tomato Sandwich,World Recipes,Easy,15 mins
679,Mawa Modak | Khoya Modak,Sweets Recipes,Moderate,25 mins
680,Black Channa Sundal (Kondakadalai Sundal),Chickpeas Recipes,Moderate,8 hrs 35 mins
681,Cabbage Kootu Recipe | Cabbage Dal,Cabbage Recipes,Moderate,40 mins
682,Tehri Recipe | Tahri (Vegetable Rice),Rice Recipes,Moderate,50 mins
